match_id,season,round_label,round_number,date,team,opposition_team,player_id,full_name,player_key,jersey_number,raw_position,display_position,is_starting,source_url
2025003,2025,Round 1,1,2025-02-14,Hull KR,Castleford,,Hiku,hiku,,RC,RC,True,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025003,2025,Round 1,1,2025-02-14,Hull KR,Castleford,,Gildart,gildart,,LC,LC,True,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025003,2025,Round 1,1,2025-02-14,Hull KR,Castleford,,Burgess,burgess,,LW,LW,True,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025003,2025,Round 1,1,2025-02-14,Hull KR,Castleford,,Lewis,lewis,,FE,FE,True,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025003,2025,Round 1,1,2025-02-14,Hull KR,Castleford,,May,may,,HLF,HLF,True,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025003,2025,Round 1,1,2025-02-14,Hull KR,Castleford,,Sue,sue,,PR,PR,True,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025003,2025,Round 1,1,2025-02-14,Hull KR,Castleford,,McIlorum,mcilorum,,HK,HK,True,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025003,2025,Round 1,1,2025-02-14,Hull KR,Castleford,,Waerea-Hargreaves,waerea hargreaves,,PR,PR,True,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025003,2025,Round 1,1,2025-02-14,Hull KR,Castleford,,Martin,martin,,L2R,L2R,True,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025003,2025,Round 1,1,2025-02-14,Hull KR,Castleford,,Batchelor,batchelor,,R2R,R2R,True,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025003,2025,Round 1,1,2025-02-14,Hull KR,Castleford,,Minchella,minchella,,LK,LK,True,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025003,2025,Round 1,1,2025-02-14,Hull KR,Castleford,,Litten,litten,,B,HK,False,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025003,2025,Round 1,1,2025-02-14,Hull KR,Castleford,,Hadley,hadley,,B,L2R,False,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025003,2025,Round 1,1,2025-02-14,Hull KR,Castleford,,Whitbread,whitbread,,B,PR,False,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025003,2025,Round 1,1,2025-02-14,Hull KR,Castleford,,Tanginoa,tanginoa,,B,R2R,False,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025003,2025,Round 1,1,2025-02-14,Castleford,Hull KR,,Rooney,rooney,,FB,FB,True,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025003,2025,Round 1,1,2025-02-14,Castleford,Hull KR,,Simm,simm,,RW,RW,True,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
