match_id,season,round_label,round_number,date,is_final,team,opposition_team,player_id,full_name,player_key,jersey_number,raw_position,display_position,tries,position_method,source_url,source,team_short,opposition_short
2025011,2025,Round 2,2,2025-02-22,False,St Helens,Castleford,,A. Paasi,paasi,,PR,PR,1,interchange; season modal starting position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,St Helens,Castleford
2025011,2025,Round 2,2,2025-02-22,False,St Helens,Castleford,,A. Walmsley,walmsley,,PR,PR,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,St Helens,Castleford
2025011,2025,Round 2,2,2025-02-22,False,St Helens,Castleford,,J. Welsby,welsby,,FB,FB,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,St Helens,Castleford
2025011,2025,Round 2,2,2025-02-22,False,Castleford,St Helens,,S. Namo,namo,,PR,PR,1,interchange; season modal starting position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Castleford,St Helens
2025012,2025,Round 2,2,2025-02-23,False,Leigh,Huddersfield,,D. Armstrong,armstrong,,FB,FB,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Leigh,Huddersfield
2025012,2025,Round 2,2,2025-02-23,False,Leigh,Huddersfield,,K. Brand,brand,,RW,RW,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Leigh,Huddersfield
2025012,2025,Round 2,2,2025-02-23,False,Leigh,Huddersfield,,M. Davis,davis,,HK,HK,1,interchange; season modal starting position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Leigh,Huddersfield
2025012,2025,Round 2,2,2025-02-23,False,Leigh,Huddersfield,,T. Niu,niu,,RC,RC,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Leigh,Huddersfield
2025012,2025,Round 2,2,2025-02-23,False,Huddersfield,Leigh,,O. Wilson,wilson,,PR,PR,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Huddersfield,Leigh
2025013,2025,Round 3,3,2025-02-27,False,Hull KR,Salford,,J. Whitbread,whitbread,,PR,PR,2,interchange; season modal starting position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Hull KR,Salford
