season,scope,team,team_short,matches,position,tries_scored,tries_conceded,differential
2025,All matches,Leeds,Leeds,28,PR,14,3,11
2025,All matches,Leeds,Leeds,28,HK,1,1,0
2025,All matches,Leeds,Leeds,28,LK,6,2,4
2025,All matches,Leigh,Leigh,29,LW,15,8,7
2025,All matches,Leigh,Leigh,29,LC,12,5,7
2025,All matches,Leigh,Leigh,29,L2R,10,6,4
2025,All matches,Leigh,Leigh,29,FE,4,7,-3
2025,All matches,Leigh,Leigh,29,HLF,4,3,1
2025,All matches,Leigh,Leigh,29,R2R,7,3,4
2025,All matches,Leigh,Leigh,29,RC,9,11,-2
2025,All matches,Leigh,Leigh,29,RW,17,14,3
2025,All matches,Leigh,Leigh,29,FB,10,7,3
2025,All matches,Leigh,Leigh,29,PR,12,11,1
2025,All matches,Leigh,Leigh,29,HK,13,3,10
2025,All matches,Leigh,Leigh,29,LK,3,3,0
2025,All matches,Salford,Salford,27,LW,3,24,-21
2025,All matches,Salford,Salford,27,LC,3,14,-11
2025,All matches,Salford,Salford,27,L2R,2,13,-11
2025,All matches,Salford,Salford,27,FE,1,15,-14
2025,All matches,Salford,Salford,27,HLF,3,3,0
2025,All matches,Salford,Salford,27,R2R,4,11,-7
2025,All matches,Salford,Salford,27,RC,6,19,-13
2025,All matches,Salford,Salford,27,RW,5,32,-27
2025,All matches,Salford,Salford,27,FB,4,19,-15
2025,All matches,Salford,Salford,27,PR,6,19,-13
2025,All matches,Salford,Salford,27,HK,2,17,-15
2025,All matches,Salford,Salford,27,LK,1,8,-7
2025,All matches,St Helens,St Helens,29,LW,18,11,7
2025,All matches,St Helens,St Helens,29,LC,9,12,-3
2025,All matches,St Helens,St Helens,29,L2R,6,1,5
2025,All matches,St Helens,St Helens,29,FE,10,5,5
2025,All matches,St Helens,St Helens,29,HLF,4,1,3
2025,All matches,St Helens,St Helens,29,R2R,3,5,-2
2025,All matches,St Helens,St Helens,29,RC,15,4,11
2025,All matches,St Helens,St Helens,29,RW,26,8,18
2025,All matches,St Helens,St Helens,29,FB,12,7,5
2025,All matches,St Helens,St Helens,29,PR,8,5,3
2025,All matches,St Helens,St Helens,29,HK,6,2,4
2025,All matches,St Helens,St Helens,29,LK,9,1,8
2025,All matches,Wakefield Trinity,Wakefield,28,LW,12,14,-2
2025,All matches,Wakefield Trinity,Wakefield,28,LC,6,9,-3
2025,All matches,Wakefield Trinity,Wakefield,28,L2R,2,3,-1
2025,All matches,Wakefield Trinity,Wakefield,28,FE,8,4,4
2025,All matches,Wakefield Trinity,Wakefield,28,HLF,5,1,4
2025,All matches,Wakefield Trinity,Wakefield,28,R2R,10,2,8
2025,All matches,Wakefield Trinity,Wakefield,28,RC,11,12,-1
2025,All matches,Wakefield Trinity,Wakefield,28,RW,17,15,2
2025,All matches,Wakefield Trinity,Wakefield,28,FB,13,9,4
2025,All matches,Wakefield Trinity,Wakefield,28,PR,18,8,10
2025,All matches,Wakefield Trinity,Wakefield,28,HK,7,5,2
2025,All matches,Wakefield Trinity,Wakefield,28,LK,3,3,0
2025,All matches,Warrington,Warrington,27,LW,13,10,3
2025,All matches,Warrington,Warrington,27,LC,5,13,-8
2025,All matches,Warrington,Warrington,27,L2R,3,6,-3
2025,All matches,Warrington,Warrington,27,FE,7,8,-1
2025,All matches,Warrington,Warrington,27,HLF,1,7,-6
2025,All matches,Warrington,Warrington,27,R2R,3,8,-5
