match_id,season,round_label,round_number,date,home_team,home_team_score,away_team,away_team_score,is_final,venue,source_url,source,home_team_short,away_team_short
2025100,2025,Round 17,17,2025-07-05,St Helens,13,Hull FC,6,False,MKM Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,St Helens,Hull FC
2025101,2025,Round 17,17,2025-07-05,Wakefield Trinity,44,Catalans,6,False,DIY Kitchens Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Wakefield,Catalans
2025102,2025,Round 17,17,2025-07-06,Leeds,14,Hull KR,8,False,Sewell Group Craven Park,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Leeds,Hull KR
2025103,2025,Round 18,18,2025-07-10,Hull FC,16,Wakefield Trinity,10,False,MKM Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Hull FC,Wakefield
2025104,2025,Round 18,18,2025-07-11,St Helens,6,Leeds,0,False,AMT Headingley Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,St Helens,Leeds
2025105,2025,Round 18,18,2025-07-11,Wigan,30,Huddersfield,10,False,The Brick Community Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Wigan,Huddersfield
2025106,2025,Round 18,18,2025-07-12,Leigh,28,Hull KR,10,False,Leigh Sports Village Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Leigh,Hull KR
2025107,2025,Round 18,18,2025-07-12,Warrington,24,Catalans,20,False,Stade Gilbert Brutus,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Warrington,Catalans
2025108,2025,Round 18,18,2025-07-13,Salford,26,Castleford,22,False,Salford Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Salford,Castleford
2025109,2025,Round 19,19,2025-07-17,Leigh,16,St Helens,4,False,Totally Wicked Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Leigh,St Helens
2025110,2025,Round 19,19,2025-07-18,Leeds,42,Salford,6,False,AMT Headingley Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Leeds,Salford
